Name,Address
SOUNDVIEW PLAYFIELD,1590 NW 90TH ST
SOUNDVIEW TERRACE,2500 11TH AVE W
SOUTH PARK MEADOW,9141 8TH AVE S
SOUTH PARK PLAYGROUND,738 S SULLIVAN ST
SOUTH PASSAGE POINT PARK,3320 FUHRMAN AVE E
SPRING STREET MINI PARK,1506 E SPRING ST
SPRUCE STREET MINI PARK,160 21ST AVE
ST. MARK'S GREENBELT,1500 LAKEVIEW BLVD E
STAN SAYRES MEMORIAL PARK,3808 LAKE WASHINGTON BLVD S
STEVENS PLACE,2919 BEACON AVE S
STEVENS TRIANGLE,3809 E JOHN ST
STURGUS PARK,904 STURGUS AVE S
STURTEVANT RAVINE,9335 STURTEVANT AVE S
SUMMIT PLACE,BELMONT AVE E & BELLEVUE PL E
SUMMIT SLOPE PARK,200 SUMMIT AVE E
SUNNYSIDE AVE N BOAT RAMP,2301 N NORTHLAKE WAY
SUNSET HILL PARK,7531 34TH AVE NW
SUNSET PLACE,105 NW 52ND ST
SW QUEEN ANNE GREENBELT,12TH AVE W & W HOWE ST
T.T. MINOR PLAYGROUND,1698 E UNION ST
TASHKENT PARK,511 BOYLSTON AVE E
TERRY PETTUS PARK,2001 FAIRVIEW AVE E
THAYER PLACE,10088 WATERS AVE S
THOMAS C. WALES PARK,2401 6TH AVE N
THOMAS ST. MINI PARK,306 BELLEVUE AVE E
THORNDYKE PARK,1818 THORNDYKE AVE W
THORNTON CREEK PARK #1,13002 10TH AVE NE
THYME PATCH PARK,2853 NW 58TH ST
TILIKUM PLACE,2701 5TH AVE
TROLLEY HILL PARK,1800 TAYLOR AVE N
UNION STATION SQUARE,316 S JACKSON ST
UNIVERSITY CIRCLE,5801 UNIVERSITY CIRCLE NE
UNIVERSITY LAKE SHORE PLACE,4275 NE 125TH ST
UNIVERSITY PLAYGROUND,4745 9TH AVE NE
URSULA JUDKINS VIEWPOINT,2605 W GALER ST
VAN ASSELT PLAYGROUND,7050 BEACON AVE S
VICTOR STEINBRUECK PARK,2001 WESTERN AVE
VICTORY CREEK PARK,1059 NE NORTHGATE WAY
VICTORY HEIGHTS PLAYGROUND,1737 NE 106TH ST
VIEW RIDGE PLAYFIELD,4408 NE 70TH ST
VIRETTA PARK,151 LAKE WASHINGTON BLVD E
VIRGIL FLAIM PARK,2700 NE 123RD ST
VOLUNTEER PARK,1247 15TH AVE E
VOLUNTEER PARK CONSERVATORY,1400 E GALER ST
WALLINGFORD PLAYFIELD,4219 WALLINGFORD AVE N
WALLINGFORD STEPS,1800 N NORTHLAKE WAY
WARD SPRINGS PARK,4TH AVE N & WARD ST
WARREN G. MAGNUSON PARK,7400 SAND POINT WAY NE
WASHINGTON PARK ARBORETUM,2300 ARBORETUM DR E
WASHINGTON PARK PLAYFIELD,1017 LAKE WASHINGTON BLVD E
WASHINGTON STREET PUBLIC BOAT LANDING,199 ALASKAN WAY S
WATERFRONT PARK,1401 ALASKAN WAY
WATERWAY 19,2119 N NORTHLAKE WAY
WEATHER WATCH PARK,4035 BEACH DR SW
WEBSTER PARK,3025 NW 68TH ST
WEDGWOOD SQUARE,8126 31ST AVE NE
WEST DUWAMISH GREENBELT,W MARGINAL WAY SW & HIGHLAND PARK WAY SW
WEST EWING MINI PARK,244 W EWING ST
WEST MONTLAKE PARK,2815 W PARK DR E
WEST QUEEN ANNE PLAYFIELD,150 W BLAINE ST
WESTCREST PARK,9000 8TH AVE SW
WESTLAKE GREENBELT,WESTLAKE AVE & HALLADAY ST
WESTLAKE PARK,401 PINE ST
WESTLAKE SQUARE,1900 WESTLAKE AVE
WILLIAM GROSE PARK,1814 30TH AVE
WILLIAMS PLACE,199 15TH AVE E
WOLF CREEK RAVINE NATURAL AREA,MCGRAW ST BETWEEN 2ND AVE N & NOBB HILL AVE N
WOODLAND PARK,1000 N 50TH ST
WOODLAND PARK ROSE GARDEN,750 N 50TH ST
WOODLAND PARK ZOO,700 N 50TH ST
YESLER PLAYFIELD,835 YESLER WAY
YORK PARK,3650 RENTON AVE S
